,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
17489,SpringWorks Therapeutics,https://www.crunchbase.com/organization/springworks-therapeutics,"Stamford, Connecticut, United States","Biopharma, Biotechnology, Therapeutics",Series B,2019-04-01,125000000.0,USD,125000000.0,51-100,228000000.0,USD,228000000.0,2.0,,,,,,1.0,,,,For Profit,2017-01-01,https://twitter.com/springworkstx,,https://www.linkedin.com/company/springworks-therapeutics/,IPO,,,$10M to $50M
17490,Volanty,https://www.crunchbase.com/organization/volanty,"Rio De Janeiro, Rio de Janeiro, Brazil","Automotive, Internet, Marketplace, Peer to Peer",Series B,2019-08-07,17600000.0,USD,17600000.0,101-250,23400000.0,USD,23400000.0,3.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/volanty_br,https://www.facebook.com/volantybr,https://www.linkedin.com/company/volanty,Early Stage Venture,,,$1M to $10M
17498,Terminal,https://www.crunchbase.com/organization/terminal-io,"San Francisco, California, United States","Business Development, Human Resources, Recruiting, Software, Software Engineering",Series B,2019-09-26,17000000.0,USD,17000000.0,101-250,27000000.0,USD,27000000.0,3.0,Made Acquisitions,,,1.0,,5.0,,,,For Profit,2017-01-01,https://twitter.com/JoinTerminal,https://www.facebook.com/jointerminal/,https://www.linkedin.com/company/jointerminal/,Early Stage Venture,,,$10M to $50M
17512,Gyroscope Therapeutics,https://www.crunchbase.com/organization/gyroscope-therapeutics,"Stevenage, Herefordshire, United Kingdom","Biotechnology, Health Care, Therapeutics",Series B,2019-09-03,57700000.0,USD,57700000.0,51-100,57700000.0,USD,57700000.0,2.0,Made Acquisitions,,,1.0,,3.0,,,,For Profit,2017-01-01,https://twitter.com/gyroscopetx,,https://www.linkedin.com/company/gyroscope-therapeutics/,Early Stage Venture,,,$1M to $10M
17515,proteanTecs,https://www.crunchbase.com/organization/proteantecs,"Haifa, Hefa, Israel","Computer, Electronics, Software",Series B,2019-04-01,35000000.0,USD,35000000.0,11-50,45000000.0,USD,45000000.0,3.0,,,,,,6.0,,,,,2017-01-01,https://twitter.com/ProteanTecs,https://www.facebook.com/proteanTecs/,https://www.linkedin.com/company/proteantecs/,Early Stage Venture,,,$1M to $10M
17541,Digital Alloys,https://www.crunchbase.com/organization/digital-alloys,"Burlington, Massachusetts, United States","3D Printing, Advanced Materials, Industrial, Industrial Automation, Machinery Manufacturing, Manufacturing",Series B,2018-08-07,12900000.0,USD,12900000.0,11-50,17900000.0,USD,17900000.0,3.0,,,,,,,,,,For Profit,2017-01-01,https://twitter.com/Digital_Alloys,https://www.facebook.com/digitalalloysinc/,https://www.linkedin.com/company/digital-alloys/,Early Stage Venture,,,$1M to $10M
17565,BloXroute Labs,https://www.crunchbase.com/organization/bloxroute-labs,"Evanston, Illinois, United States","Blockchain, Content Delivery Network, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Personal Finance",Series B,2019-05-09,10000000.0,USD,10000000.0,11-50,11550000.0,USD,11550000.0,3.0,,,,,,4.0,,,,For Profit,2017-01-01,https://twitter.com/bloXrouteLabs,https://mtouch.facebook.com/BloXroute-Labs-111668409449435/?__tn__=C-R,https://www.linkedin.com/company/bloxroute-labs,Early Stage Venture,,,$1M to $10M
17574,Open Mineral AG,https://www.crunchbase.com/organization/open-mineral,"Zug, Zug, Switzerland","E-Commerce, Internet, Mineral, Mining, Precious Metals",Series B,2018-11-26,4800000.0,EUR,5439919.0,11-50,7689919.0,USD,7689919.0,2.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/openmineral,https://www.facebook.com/openmineral/,https://www.linkedin.com/company/openmineral/,Early Stage Venture,,,$1M to $10M
17579,Ro,https://www.crunchbase.com/organization/roman-2,"New York, New York, United States","Fitness, Health Care, Health Diagnostics, Hospital, Internet, Wellness",Series B,2019-04-16,85000000.0,USD,85000000.0,501-1000,176100000.0,USD,176100000.0,3.0,,,,,,3.0,,,,For Profit,2017-01-01,https://twitter.com/ro,https://www.facebook.com/getroman,https://www.linkedin.com/company/getroman/,Early Stage Venture,,,$1M to $10M
17621,Mammoth Biosciences,https://www.crunchbase.com/organization/mammoth-biosciences,"San Francisco, California, United States","Bioinformatics, Biotechnology, Genetics, Health Diagnostics, Life Science",Series B,2020-01-30,45000000.0,USD,45000000.0,11-50,68120000.0,USD,68120000.0,4.0,,,,,,5.0,,,,For Profit,2017-01-01,https://twitter.com/mammothbiosci,https://www.facebook.com/mammothbiosci/,https://www.linkedin.com/company/mammothbio/,Early Stage Venture,,,$1M to $10M
