,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
112,Fineway,https://www.crunchbase.com/organization/fineway,"Munich, Bayern, Germany","Artificial Intelligence, SaaS, Travel",Series A,2019-08-30,15000000.0,USD,15000000.0,101-250,25000000.0,USD,25000000.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,,https://www.facebook.com/thefineway,https://www.linkedin.com/company/10301445,Early Stage Venture,,,Less than $1M
113,Neurable,https://www.crunchbase.com/organization/neurable,"Cambridge, Massachusetts, United States","Augmented Reality, Human Computer Interaction, Virtual Reality",Series A,2019-12-18,6000000.0,USD,6000000.0,1-10,9031628.0,USD,9031628.0,5.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/neurable,https://www.facebook.com/neurable/,https://www.linkedin.com/company/neurable,Early Stage Venture,,,Less than $1M
115,Swift Medical,https://www.crunchbase.com/organization/swift-medical,"Toronto, Ontario, Canada","Health Care, Medical, Medical Device, Software",Series A,2018-03-29,11600000.0,USD,11600000.0,51-100,13272240.0,USD,13272240.0,3.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/swift_medical,https://www.facebook.com/swiftmedical/,https://www.linkedin.com/company/swift-medical,Early Stage Venture,,,Less than $1M
119,Sonde Health,https://www.crunchbase.com/organization/sonde-health,"Boston, Massachusetts, United States","Biotechnology, Health Care",Series A,2019-04-11,16000000.0,USD,16000000.0,1-10,22000000.0,USD,22000000.0,2.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/sondehealth,https://www.facebook.com/pg/sondehealth/posts/,https://www.linkedin.com/company/sonde-health-inc./,Early Stage Venture,,,Less than $1M
123,3d Signals,https://www.crunchbase.com/organization/3dsignals,"Kfar Saba, HaMerkaz, Israel","Artificial Intelligence, Industrial, Industrial Automation",Series A,2019-10-16,8500000.0,USD,8500000.0,11-50,26581868.0,USD,26581868.0,4.0,,,,,,4.0,,,,For Profit,2015-01-01,https://twitter.com/3Dsignals,https://www.facebook.com/3dsignals,https://www.linkedin.com/company/3dsignals,Early Stage Venture,,,Less than $1M
124,Wrapify,https://www.crunchbase.com/organization/wrapify,"San Francisco, California, United States","Advertising, Advertising Platforms, Sharing Economy",Series A,2018-08-31,3300000.0,USD,3300000.0,11-50,9000000.0,USD,9000000.0,7.0,,,,,,3.0,,,,For Profit,2015-01-01,https://twitter.com/wrapify,https://www.facebook.com/pages/Wrapify/1560956280815305,https://www.linkedin.com/company/9442403,Early Stage Venture,,,Less than $1M
127,Vertebrae,https://www.crunchbase.com/organization/vertebrae,"Santa Monica, California, United States","Augmented Reality, E-Commerce Platforms, Retail Technology, Software",Series A,2016-09-14,10000000.0,USD,10000000.0,11-50,10000000.0,USD,10000000.0,1.0,,,,,,1.0,,,,For Profit,2015-01-01,https://twitter.com/vertebraeinc,https://www.facebook.com/vertebraeinc/,https://www.linkedin.com/company/vertebrae-inc,Early Stage Venture,,,Less than $1M
128,Willing,https://www.crunchbase.com/organization/willing,"Miami, Florida, United States","Elder Care, Funerals, Legal",Series A,2016-11-03,7000000.0,USD,7000000.0,1-10,7120000.0,USD,7120000.0,2.0,Was Acquired,MetLife,https://www.crunchbase.com/organization/metlife,,,2.0,,,,For Profit,2015-01-01,https://www.twitter.com/hellowilling,,https://www.linkedin.com/company/willing-corp/,M&A,Acquisition,2019-11-20,Less than $1M
129,Embody,https://www.crunchbase.com/organization/embody-b98a,"Norfolk, Virginia, United States",Medical Device,Series A,2020-03-23,9300000.0,USD,9300000.0,11-50,16900000.0,USD,16900000.0,4.0,,,,,,2.0,,,,For Profit,2015-01-01,https://twitter.com/Embody_Inc,https://www.facebook.com/embodyinc/,https://www.linkedin.com/company/embodyllc/,Early Stage Venture,,,Less than $1M
130,InsightRX,https://www.crunchbase.com/organization/insightrx,"San Francisco, California, United States","Health Care, Machine Learning, mHealth, Predictive Analytics",Series A,2019-09-19,10000000.0,USD,10000000.0,1-10,12825000.0,USD,12825000.0,3.0,,,,,,3.0,,,,,2015-01-01,https://twitter.com/InsightRx,https://www.facebook.com/InsightRX/,https://www.linkedin.com/company/insightrx/,Early Stage Venture,,,Less than $1M
