,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
9402,KNAB Finance,https://www.crunchbase.com/organization/knab-finance,"Bengaluru, Karnataka, India","Financial Services, FinTech, Lending, Small and Medium Businesses",Undisclosed,2018-06-15,900000.0,USD,900000.0,11-50,1675863.0,USD,1675863.0,3.0,,,,,,3.0,,,,For Profit,2015-10-01,https://twitter.com/knabfinance,https://www.facebook.com/knabfinance/,https://www.linkedin.com/company/knabfinance,,,,$1M to $10M
9415,Great Big Story,https://www.crunchbase.com/organization/great-big-story,"New York, New York, United States","Film Production, Media and Entertainment, TV Production",Undisclosed,2017-06-20,40000000.0,USD,40000000.0,11-50,40000000.0,USD,40000000.0,1.0,,,,,,2.0,,,,,2015-10-15,https://www.twitter.com/greatbigstory,,,,,,$1M to $10M
9540,Medsender,https://www.crunchbase.com/organization/medsender,"New York, New York, United States",Health Care,Undisclosed,2017-10-01,,,,1-10,,,,2.0,,,,,,2.0,,,,For Profit,2015-10-01,https://twitter.com/MedsenderInc,https://www.facebook.com/medsender,https://www.linkedin.com/company/medsender/,,,,Less than $1M
9634,Essence Intelligence,https://www.crunchbase.com/organization/essence-intelligence,"Dover, Delaware, United States","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Intelligent Systems, Machine Learning, Natural Language Processing, Risk Management, Text Analytics",Undisclosed,2017-08-01,,,,1-10,,,,2.0,,,,,,1.0,,,,For Profit,2015-10-23,,https://www.facebook.com/essenceintelligence,https://www.linkedin.com/company/essence-intelligence,,,,Less than $1M
10021,Zoey,https://www.crunchbase.com/organization/zoey,"New York, New York, United States","E-Commerce, E-Commerce Platforms, Enterprise Software, Retail, SaaS, Software, Web Design, Web Development",Undisclosed,2016-02-01,2000000.0,USD,2000000.0,11-50,2000000.0,USD,2000000.0,1.0,,,,,,1.0,,,,For Profit,2015-11-01,https://twitter.com/zoeycommerce,https://www.facebook.com/zoeycommerce/,https://www.linkedin.com/company/10226362,,,,Less than $1M
10032,Brain Technologies,https://www.crunchbase.com/organization/brain-llc,"San Mateo, California, United States","Artificial Intelligence, Natural Language Processing, Software",Undisclosed,2019-02-01,20000000.0,USD,20000000.0,101-250,31000000.0,USD,31000000.0,4.0,,,,,,1.0,,,,For Profit,2015-12-01,,https://www.facebook.com/brain-469568379894486,https://www.linkedin.com/company/brain-llc,,,,Less than $1M
10139,Picniic,https://www.crunchbase.com/organization/picniic,"Vancouver, British Columbia, Canada","Apps, Family, Internet, Mobile Apps",Undisclosed,2017-09-26,2000000.0,USD,2000000.0,1-10,3000000.0,USD,3000000.0,2.0,,,,,,1.0,,,,For Profit,2015-12-01,https://twitter.com/letspicniic,https://www.facebook.com/picniic/,,,,,$1M to $10M
10230,Tapt,https://www.crunchbase.com/organization/tapt,"Long Island City, New York, United States","Mobile, Private Social Networking, Social Media, Social Network",Undisclosed,2015-12-01,100000.0,USD,100000.0,1-10,100000.0,USD,100000.0,1.0,,,,,,3.0,,,,For Profit,2015-12-01,https://www.twitter.com/gettapt,https://www.facebook.com/getTapt/?fref=ts,https://www.linkedin.com/company/tapt,,,,Less than $1M
10278,"OslerMD, Inc.",https://www.crunchbase.com/organization/oslermd-inc,"San Diego, California, United States","Apps, Mobile Devices, Software",Undisclosed,2017-01-05,,,,,600000.0,USD,600000.0,2.0,,,,,,1.0,,,,,2015-11-03,https://www.twitter.com/gooslermd,https://www.facebook.com/100011157254458,,,,,Less than $1M
10294,Smartblock Oy,https://www.crunchbase.com/organization/smartblock-oy,"Helsinki, Southern Finland, Finland","Furniture, Manufacturing",Undisclosed,2016-09-15,,,,1-10,100000.0,EUR,108906.0,2.0,,,,,,1.0,,,,For Profit,2015-11-16,https://twitter.com/smartblockfi,https://www.facebook.com/smartblockFI/,https://www.linkedin.com/company/smartblock-oy,,,,Less than $1M
