,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
6274,Spoiler Alert,https://www.crunchbase.com/organization/spoileralert,"Boston, Massachusetts, United States","Agriculture, B2B, Enterprise Software, Food and Beverage, SaaS, Software, Sustainability, Waste Management",Corporate Round,2018-10-22,,,,1-10,2650000.0,USD,2650000.0,6.0,,,,,,3.0,,,,For Profit,2015-06-01,https://twitter.com/SpoilerAlert,https://www.facebook.com/foodspoileralert,https://www.linkedin.com/company/spoiler-alert,,,,Less than $1M
7084,Ninjacart,https://www.crunchbase.com/organization/ninjacart,"Bengaluru, Karnataka, India","AgTech, B2B, Marketing, Sales, Supply Chain Management",Corporate Round,2019-12-11,10000000.0,USD,10000000.0,1001-5000,164155216.0,USD,164155216.0,10.0,,,,,,6.0,,,,For Profit,2015-07-01,https://twitter.com/ninjacart,https://www.facebook.com/ninjacart/,https://www.linkedin.com/company/ninja-cart/,,,,$1M to $10M
7343,Laku6,https://www.crunchbase.com/organization/laku6,"Jakarta, Jakarta Raya, Indonesia","Retail, Shopping",Corporate Round,2019-05-17,,,,11-50,,,,3.0,,,,,,1.0,,,,For Profit,2015-07-01,,https://www.facebook.com/Laku6com-1598612930405678/,https://www.linkedin.com/company/laku6.com,,,,$1M to $10M
8520,CoverWallet,https://www.crunchbase.com/organization/coverwallet,"New York, New York, United States",Insurance,Corporate Round,2018-06-08,,,,11-50,28300000.0,USD,28300000.0,6.0,Was Acquired,Aon plc,https://www.crunchbase.com/organization/aon-corporation,,,2.0,,,,For Profit,2015-09-01,https://twitter.com/coverwallet/,https://www.facebook.com/coverwallet/,https://www.linkedin.com/company/coverwallet,M&A,Acquisition,2019-11-20,$1M to $10M
8547,The Man Company,https://www.crunchbase.com/organization/the-man-company,"Gurgaon, Haryana, India","Beauty, Consumer Goods",Corporate Round,2019-10-21,,,,11-50,3500000.0,USD,3500000.0,4.0,Was Acquired,Emami,https://www.crunchbase.com/organization/emami,,,2.0,,,,For Profit,2015-09-01,https://twitter.com/themancompany,https://www.facebook.com/Themancompany,https://in.linkedin.com/company/the-man-company,M&A,Acquisition,2017-12-08,$1M to $10M
8605,Volterion,https://www.crunchbase.com/organization/volterion,"Dortmund, Nordrhein-Westfalen, Germany","Battery, Clean Energy, CleanTech, Energy Efficiency, Energy Storage, Manufacturing, Renewable Energy, Solar",Corporate Round,2019-07-31,11000000.0,USD,11000000.0,11-50,16180000.0,USD,16180000.0,13.0,,,,,,5.0,,,,For Profit,2015-09-14,,https://www.facebook.com/volteriongmbh/,https://www.linkedin.com/company/volterion,,,,$1M to $10M
8639,Juggernaut,https://www.crunchbase.com/organization/juggernaut-3,"New Delhi, Delhi, India","Digital Media, News, Publishing",Corporate Round,2017-12-04,,,,11-50,2200000.0,USD,2200000.0,2.0,,,,,,2.0,,,,For Profit,2015-09-01,https://twitter.com/juggernautbooks,https://www.facebook.com/juggernautindia,https://in.linkedin.com/company/juggernaut-books,,,,$1M to $10M
9346,NAGA,https://www.crunchbase.com/organization/swipestox-ltd,"Hamburg, Hamburg, Germany","Apps, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Innovation Management, Payments, Social",Corporate Round,2017-03-31,12500000.0,EUR,13330006.0,101-250,14958102.0,USD,14958102.0,3.0,,,,,,1.0,,,,For Profit,2015-10-15,https://twitter.com/nagainvesting,https://www.facebook.com/nagainvesting,https://www.linkedin.com/company/nagainvesting/,IPO,,,$1M to $10M
9417,Octopus Energy,https://www.crunchbase.com/organization/octopus-energy,"London, England, United Kingdom",Energy,Corporate Round,2020-05-04,,,,501-1000,,,,1.0,,,,,,1.0,,,,For Profit,2015-10-01,https://www.twitter.com/octopus_energy,https://www.facebook.com/octopusenergy,https://www.linkedin.com/company/octopus-energy,,,,$1M to $10M
9960,PhonePe,https://www.crunchbase.com/organization/phonepe,"New Delhi, Delhi, India","FinTech, Internet, Mobile Payments, Payments",Corporate Round,2020-04-27,28000000.0,USD,28000000.0,1001-5000,673459861.0,USD,673459861.0,10.0,"Made Acquisitions, Was Acquired",Flipkart,https://www.crunchbase.com/organization/flipkart,1.0,,3.0,,,,For Profit,2015-12-01,https://twitter.com/PhonePe_,https://www.facebook.com/PhonePe-1015973098467408/,https://www.linkedin.com/company/phonepe-internet,M&A,Acquisition,2016-04-01,$10M to $50M
9961,OpenAI,https://www.crunchbase.com/organization/openai,"San Francisco, California, United States","Artificial Intelligence, Non Profit, Online Games",Corporate Round,2019-07-23,1000000000.0,USD,1000000000.0,11-50,1000120000.0,USD,1000120000.0,2.0,,,,,,5.0,,,,Non-profit,2015-12-11,https://twitter.com/OpenAI,https://www.facebook.com/openai.research,https://www.linkedin.com/company-beta/11130470,,,,$10M to $50M
10042,GROOVE X,https://www.crunchbase.com/organization/groove-x-inc,"Tokyo, Tokyo, Japan","Consumer Electronics, Electronics, Robotics",Corporate Round,2019-06-12,3000000000.0,JPY,27651426.0,51-100,8748600000.0,JPY,79654536.0,4.0,,,,,,1.0,,,,For Profit,2015-11-02,https://twitter.com/groovexinc,https://www.facebook.com/GROOVEX.Robot/,https://www.linkedin.com/company/15182430/,,,,$1M to $10M
10075,Electron,https://www.crunchbase.com/organization/electron,"London, England, United Kingdom","Blockchain, Energy, Infrastructure, Software",Corporate Round,2019-03-13,,,,11-50,1409000.0,GBP,1870242.0,9.0,,,,,,2.0,,,,For Profit,2015-11-01,https://twitter.com/ElectronDLT,https://www.facebook.com/Electron-1050643575033677/,https://www.linkedin.com/company/electron-platform,,,,Less than $1M
