,Organization Name,Organization Name URL,Headquarters Location,Industries,Last Funding Type,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Acquisition Status,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Price Currency (in USD),Number of Founders,Unnamed: 20,Acquisition Price,Price Currency,Company Type,Founded Date,Twitter,Facebook,LinkedIn,Funding Status,Acquisition Type,Announced Date,Estimated Revenue Range
14480,BARD1 Life Sciences,https://www.crunchbase.com/organization/bard1-life-sciences-ltd,"Nedlands, Western Australia, Australia","Biotechnology, Health Diagnostics, Life Science",Post-IPO Equity,2019-06-18,7500000.0,USD,7500000.0,11-50,7526558.0,USD,7526558.0,3.0,Made Acquisitions,,,1.0,,,,,,For Profit,2016-06-01,https://twitter.com/BARD1LSL,,https://www.linkedin.com/company/bard1-life-sciences-ltd/,IPO,,,Less than $1M
15343,LexaGene,https://www.crunchbase.com/organization/lexagene,"Beverly, Massachusetts, United States","Biotechnology, Health Diagnostics",Post-IPO Equity,2019-10-29,6640000.0,CAD,5071849.0,11-50,6640000.0,CAD,5071849.0,1.0,,,,,,2.0,,,,For Profit,2016-10-12,https://twitter.com/lexa_gene,https://www.facebook.com/LexaGene/,https://www.linkedin.com/company/11020337,IPO,,,$1M to $10M
16212,Zelira Therapeutics,https://www.crunchbase.com/organization/zelira-therapeutics,"Perth, Western Australia, Australia","Biotechnology, Life Science, Therapeutics",Post-IPO Equity,2020-02-05,4600000.0,USD,4600000.0,1-10,4600000.0,USD,4600000.0,1.0,,,,,,,,,,,2016-11-22,,https://www.facebook.com/Zeliratx/,https://www.linkedin.com/company/zelira-therapeutics,IPO,,,Less than $1M
16502,Immotion Group plc,https://www.crunchbase.com/organization/immotion-group,"Manchester, Manchester, United Kingdom","Amusement Park and Arcade, Animation, Digital Entertainment, Education, Edutainment, Leisure, Media and Entertainment, Simulation, Virtual Reality",Post-IPO Equity,2020-01-23,3725000.0,USD,3725000.0,101-250,13363265.0,USD,13363265.0,5.0,,,,,,2.0,,,,For Profit,2017-01-01,https://twitter.com/Immotion_Group,http://www.facebook.com/immotiongroupplc,https://www.linkedin.com/company/11288905/,IPO,,,Less than $1M
17516,TerrAscend,https://www.crunchbase.com/organization/terrascend,"Mississauga, Ontario, Canada","Cannabis, Clinical Trials, Health Care, Medical, Pharmaceutical",Post-IPO Equity,2020-01-13,33500000.0,USD,33500000.0,101-250,149798354.0,USD,149798354.0,5.0,Made Acquisitions,,,2.0,,3.0,,,,For Profit,2017-01-01,https://twitter.com/terrascendcorp,https://www.facebook.com/TerrAscendCorp/,https://www.linkedin.com/company/16243953/,IPO,,,$10M to $50M
17675,Hoth Therapeutics,https://www.crunchbase.com/organization/hoth-therapeutics,"Cincinnati, Ohio, United States","Biotechnology, Health Care, Hospital, Medical",Post-IPO Equity,2019-08-21,2000000.0,USD,2000000.0,1-10,5675000.0,USD,5675000.0,3.0,,,,,,,,,,For Profit,2017-01-01,,,,IPO,,,$1M to $10M
17715,Navitas Petroleum,https://www.crunchbase.com/organization/navitas-petroleum-limited-partnership,"Houston, Texas, United States","Energy, Renewable Energy",Post-IPO Equity,2020-01-13,271000000.0,ILS,78172325.0,11-50,97672325.0,USD,97672325.0,2.0,,,,,,,,,,For Profit,2017-01-01,,,https://www.linkedin.com/company/navitas-petroleum/,IPO,,,$1M to $10M
17914,SLANG Worldwide,https://www.crunchbase.com/organization/slang-worldwide,"Toronto, Ontario, Canada","Consumer Goods, Packaging Services",Post-IPO Equity,2019-11-26,15000000.0,USD,15000000.0,101-250,15000000.0,USD,15000000.0,1.0,,,,,,,,,,,2017-01-01,,,https://www.linkedin.com/company/slang-worldwide,IPO,,,$1M to $10M
17917,Open Orphan,https://www.crunchbase.com/organization/open-orphan,"Dublin, Dublin, Ireland","Life Science, Pharmaceutical",Post-IPO Equity,2020-02-01,6300000.0,EUR,6989407.0,1-10,6300000.0,EUR,6989407.0,1.0,,,,,,,,,,,2017-01-01,https://twitter.com/OpenOrphan,,https://www.linkedin.com/company/open-orphan,IPO,,,$10M to $50M
17919,Red Violet,https://www.crunchbase.com/organization/red-violet,"Boca Raton, Florida, United States","Analytics, Asset Management, Software",Post-IPO Equity,2019-08-29,7500000.0,USD,7500000.0,51-100,7500000.0,USD,7500000.0,1.0,,,,,,,,,,,2017-01-01,,,https://www.linkedin.com/company/redviolet?trk=public_profile_topcard_current_company,IPO,,,$1M to $10M
17926,TransCanna,https://www.crunchbase.com/organization/transcanna,"Vancouver, British Columbia, Canada","Freight Service, Logistics, Supply Chain Management",Post-IPO Equity,2019-06-07,10000000.0,CAD,7526447.0,11-50,10000000.0,CAD,7526447.0,1.0,Made Acquisitions,,,1.0,,,,,,,2017-01-01,https://twitter.com/TransCanna,https://www.facebook.com/TransCannaHoldings/,https://www.linkedin.com/company/transcanna-holdings-about/,IPO,,,$10M to $50M
17978,Supermarket Income Reit,https://www.crunchbase.com/organization/supermarket-income-reit,"London, England, United Kingdom",Asset Management,Post-IPO Equity,2019-03-22,45000000.0,GBP,59462852.0,11-50,45000000.0,GBP,59462852.0,1.0,,,,,,,,,,,2017-01-01,https://twitter.com/SupermarketREIT,,https://www.linkedin.com/company/supermarket-income-reit/,IPO,,,$1M to $10M
17981,KOPR Point Ventures,https://www.crunchbase.com/organization/new-point-exploration,"Vancouver, British Columbia, Canada",Mining,Post-IPO Equity,2018-08-09,4651000.0,CAD,3564705.0,1-10,4651000.0,CAD,3564705.0,1.0,,,,,,,,,,,2017-01-01,,,,IPO,,,$1M to $10M
17997,Vizsla Resources,https://www.crunchbase.com/organization/vizsla-resources,"Vancouver, British Columbia, Canada",Mineral,Post-IPO Equity,2019-11-14,4000000.0,CAD,3018847.0,1-10,4000000.0,CAD,3018847.0,1.0,,,,,,,,,,For Profit,2017-01-01,,,,IPO,,,$10M to $50M
18323,Canopy Rivers,https://www.crunchbase.com/organization/canopy-rivers,"Toronto, Ontario, Canada","Cannabis, Financial Services, Venture Capital",Post-IPO Equity,2019-02-07,85000000.0,USD,85000000.0,11-50,85000000.0,USD,85000000.0,1.0,,,,,,,,,,For Profit,2017-04-01,https://twitter.com/CanopyRiversInc,https://www.facebook.com/CanopyRiversInc/,http://linkedin.com/company/canopyriversinc,IPO,,,Less than $1M
20121,Renalytix AI,https://www.crunchbase.com/organization/renalytix-ai,"Penarth, Vale of Glamorgan, The, United Kingdom","Artificial Intelligence, Health Care, Health Diagnostics, Medical Device",Post-IPO Equity,2019-07-23,14000000.0,GBP,17412393.0,11-50,46412393.0,USD,46412393.0,2.0,,,,,,2.0,,,,For Profit,2018-01-01,https://twitter.com/RenalytixAI,,https://www.linkedin.com/company/renalytixai/about/,IPO,,,Less than $1M
20232,NexTech AR Solutions,https://www.crunchbase.com/organization/nextech-ar-solutions,"Toronto, Ontario, Canada","Advertising Platforms, Augmented Reality",Post-IPO Equity,2019-08-19,1161780.0,USD,1161780.0,1-10,1161780.0,USD,1161780.0,1.0,Made Acquisitions,,,3.0,,,,,,,2018-01-01,,,https://www.linkedin.com/company/nextech-ar-solutions/,IPO,,,$1M to $10M
20393,Galaxy Digital LP,https://www.crunchbase.com/organization/galaxy-digital-lp,"New York, New York, United States","Asset Management, Banking, Financial Services",Post-IPO Equity,2019-01-02,5000000.0,USD,5000000.0,101-250,5000000.0,USD,5000000.0,1.0,,,,,,2.0,,,,,2018-01-01,,,https://www.linkedin.com/company/galaxydigital/,IPO,,,$10M to $50M
